Sample,SOURCE,SITE,MARBLE GROUP,SELECT,MGS,d18O,d13C
Hera12,,Heracl,Heracleia,,1.10,-2.22,2.53
Hera13,,Heracl,Heracleia,,1.80,-2.54,2.37
Hera14,,Heracl,Heracleia,,1.60,,
Hera15,,Heracl,Heracleia,,0.50,,
Hera16,,Heracl,Heracleia,,1.10,,
Hera17,,Heracl,Heracleia,,0.70,,
Hera18,,Heracl,Heracleia,,0.60,,
Hera19,,Heracl,Heracleia,,0.50,-1.96,2.50
Hera20,,Heracl,Heracleia,,2.50,-2.43,2.16
Hera21,,Heracl,Heracleia,,2.00,-2.79,2.03
Hera22,,Heracl,Heracleia,,1.90,-3.12,1.53
Hera23,,Heracl,Heracleia,,0.80,-2.15,1.01
Hera24,,Heracl,Heracleia,,2.00,-3.10,0.68
Hera25,,Heracl,Heracleia,,0.80,-1.61,0.33
Hera26,,Heracl,Heracleia,,2.40,-3.33,0.60
Hera27,,Heracl,Heracleia,,1.90,-2.92,2.11
Hera28,,Heracl,Heracleia,,1.90,-2.30,2.21
Hera29,,Heracl,Heracleia,,1.50,-2.31,2.79
Hera30,,Heracl,Heracleia,,2.00,-2.22,2.43
Hera31,,Heracl,Heracleia,,1.30,-1.62,2.19
Hera32,,Heracl,Heracleia,,1.70,-2.45,1.59
Hera33,,Heracl,Heracleia,,2.10,-2.98,1.53
Hera33,,Heracl,Heracleia,,0.50,-1.21,0.87
Hera34,,Heracl,Heracleia,,0.40,-2.28,1.31
Hera35,,Heracl,Heracleia,,3.50,-3.27,1.46
Hera36,,Heracl,Heracleia,,1.10,-1.77,-0.09
Hera37,,Heracl,Heracleia,,0.90,-1.55,1.45
Hera38,,Heracl,Heracleia,,1.40,-2.27,1.17
Hera39,,Heracl,Heracleia,,1.30,-2.65,1.32
Hera40,,Heracl,Heracleia,,1.80,-3.36,1.62
Hera41,,Heracl,Heracleia,,1.80,-3.14,1.46
Hera42,,Heracl,Heracleia,,2.00,-3.03,1.42
Hera43,,Heracl,Heracleia,,1.80,-3.10,1.48
Hera44,,Heracl,Heracleia,,1.40,-2.21,1.42
Hera45,,Heracl,Heracleia,,1.80,-3.31,1.53
Hera46,,Heracl,Heracleia,,2.10,-3.29,1.31
Hera47,,Heracl,Heracleia,,1.80,-3.27,1.36
Hera48,,Heracl,Heracleia,,2.50,-3.35,1.51
Hera49,,Heracl,Heracleia,,2.50,-3.31,1.54
Hera50,,Heracl,Heracleia,,2.30,-3.04,1.38
Hera51,,Heracl,Heracleia,,2.10,-3.29,1.50
Hera52,,Heracl,Heracleia,,2.20,-3.06,1.30
Hera53,,Heracl,Heracleia,,2.10,-3.21,1.11
Hera54,,Heracl,Heracleia,,2.30,-3.15,1.27
Hera55,,Heracl,Heracleia,,2.50,-3.03,1.40
CV1,CNRset01,Hierapo,Hiera,,1.40,-7.71,2.62
CV2,CNRset01,Hierapo,Hiera,,1.30,-7.59,2.91
CV3,CNRset01,Hierapo,Hiera,,1.60,-7.16,2.57
CV4,CNRset01,Hierapo,Hiera,,1.70,-7.64,1.37
CV5,CNRset01,Hierapo,Hiera,,1.60,-7.32,0.66
CV6,CNRset01,Hierapo,Hiera,,2.00,-7.82,2.52
CV7,CNRset01,Hierapo,Hiera,,1.40,-7.98,-0.37
CV8,CNRset01,Hierapo,Hiera,,1.40,-7.52,2.33
CV9,CNRset01,Hierapo,Hiera,,1.20,-7.01,3.40
CV10,CNRset01,Hierapo,Hiera,,1.80,-9.57,0.77
CV11,CNRset01,Hierapo,Hiera,,1.50,-8.82,2.00
HCV1.1,CNRset02,Hierapo,Hiera,,3.20,-9.31,1.10
HCV1.2,CNRset02,Hierapo,Hiera,,1.30,-8.13,3.05
HCV1.3,CNRset02,Hierapo,Hiera,,1.40,-7.87,1.01
HCV1.4,CNRset02,Hierapo,Hiera,,1.10,-7.48,3.12
HCV1.5,CNRset02,Hierapo,Hiera,,1.00,-7.31,1.17
HCV2.1,CNRset02,Hierapo,Hiera,,1.30,-7.65,3.15
HCV2.2,CNRset02,Hierapo,Hiera,,1.70,-7.15,3.10
HCV2.3,CNRset02,Hierapo,Hiera,,1.30,-8.87,2.70
HCV2.4,CNRset02,Hierapo,Hiera,,1.40,-9.17,2.01
HCV4.1,CNRset02,Hierapo,Hiera,,1.40,-7.69,0.91
HCV4.2,CNRset02,Hierapo,Hiera,,3.10,-8.50,1.20
HCV4.3,CNRset02,Hierapo,Hiera,,2.80,-9.45,0.37
HCV4.4,CNRset02,Hierapo,Hiera,,2.50,-8.59,0.84
HCV4.5,CNRset02,Hierapo,Hiera,,2.60,-8.24,0.69
HCV4.6,CNRset02,Hierapo,Hiera,,1.90,-7.26,0.91
HCV4.7,CNRset02,Hierapo,Hiera,,2.00,-9.45,1.46
HCV4.8,CNRset02,Hierapo,Hiera,,2.00,-8.10,1.22
HCV4.9,CNRset02,Hierapo,Hiera,,2.60,-7.83,0.98
HCV4.10,CNRset02,Hierapo,Hiera,,2.80,-8.64,1.22
HCV4.11,CNRset02,Hierapo,Hiera,,3.40,-7.91,0.02
v54,DBPens,Hymett,Hy,,0.90,-1.54,2.22
v85,DBPens,Hymett,Hy,,0.60,-1.77,2.18
KKM11,CNRnov97,Hymett,Hy,,0.70,-2.62,1.31
KKM13,CNRnov97,Hymett,Hy,,0.45,-4.29,2.36
KKM14,CNRnov97,Hymett,Hy,,0.60,-1.97,2.37
KKM15,CNRnov97,Hymett,Hy,,1.20,-2.05,2.35
KKM16,CNRnov97,Hymett,Hy,,0.35,-3.06,0.88
KKM17,CNRnov97,Hymett,Hy,,0.45,-2.79,2.32
KKM18,CNRnov97,Hymett,Hy,,0.40,-2.02,2.22
KNA1.1,CNRnov97,Hymett,Hy,,0.70,-1.16,3.23
KNA1.2,CNRnov97,Hymett,Hy,,0.70,-1.79,2.58
KNA13,CNRnov97,Hymett,Hy,,0.80,-1.88,2.60
KNA14,CNRnov97,Hymett,Hy,,0.60,-1.41,2.84
KNA15,CNRnov97,Hymett,Hy,,0.65,-1.77,2.52
KNA16,CNRnov97,Hymett,Hy,,0.80,-2.53,2.75
KNA17,CNRnov97,Hymett,Hy,,0.65,-1.94,2.49
KNA18,CNRnov97,Hymett,Hy,,0.70,-1.75,2.19
KNM21,CNRnov97,Hymett,Hy,,1.20,-2.55,1.75
KNM22,CNRnov97,Hymett,Hy,,0.80,-2.12,2.40
KNM23,CNRnov97,Hymett,Hy,,0.80,-2.71,2.36
KSA2.1,CNRnov97,Hymett,Hy,,0.65,-1.76,2.35
KSA2.2,CNRnov97,Hymett,Hy,,1.00,-1.49,2.42
KSA2.3,CNRnov97,Hymett,Hy,,0.60,-3.31,1.17
KSA2.4,CNRnov97,Hymett,Hy,,0.90,-1.16,2.28
KSA3.1,CNRnov97,Hymett,Hy,,0.80,-1.89,1.66
KSA3.2,CNRnov97,Hymett,Hy,,0.65,-1.95,1.05
KSSA4.1,CNRnov97,Hymett,Hy,,0.70,-2.20,2.60
KSSA4.2,CNRnov97,Hymett,Hy,,0.65,-1.81,2.43
KSSA4.4,CNRnov97,Hymett,Hy,,0.60,-2.70,2.16
KSSA4.5,CNRnov97,Hymett,Hy,,0.70,-1.95,2.33
KSSA4.6,CNRnov97,Hymett,Hy,,0.40,-2.06,2.09
KSSA5.1,CNRnov97,Hymett,Hy,,0.70,-1.88,2.43
KSSA5.2,CNRnov97,Hymett,Hy,,0.60,-1.25,2.47
KSSA6.1,CNRnov97,Hymett,Hy,,0.50,-1.53,2.62
KSSA6.2,CNRnov97,Hymett,Hy,,0.60,-1.79,2.39
KSSA6.3,CNRnov97,Hymett,Hy,,0.65,-2.36,1.80
KSSA6.4,CNRnov97,Hymett,Hy,,1.20,-3.68,2.34
KSSA6.5,CNRnov97,Hymett,Hy,,0.70,-2.27,1.84
KSSA6.6,CNRnov97,Hymett,Hy,,0.50,-3.04,1.11
KSSA6.7,CNRnov97,Hymett,Hy,,0.65,-3.30,2.00
KSSA6.8,CNRnov97,Hymett,Hy,,0.50,-1.75,2.65
A1,M.Bruno,Mani,Mani,,1.20,-2.57,2.53
Areo,M.Bruno,Mani,Mani,,,-2.06,3.11
MZ1,M.Bruno,Mani,Mani,,0.80,-1.92,2.28
MZ2,M.Bruno,Mani,Mani,,0.80,-1.39,2.67
MZ3,M.Bruno,Mani,Mani,,0.50,-1.68,2.53
MZ4,M.Bruno,Mani,Mani,,0.40,-1.58,2.56
MZ5,M.Bruno,Mani,Mani,,0.30,-1.70,2.58
MZ6,M.Bruno,Mani,Mani,,1.00,-2.28,2.57
MZ7,M.Bruno,Mani,Mani,,1.00,-1.57,2.59
MZ8,M.Bruno,Mani,Mani,,0.80,-2.00,2.38
MZ9,M.Bruno,Mani,Mani,,1.20,-2.05,2.54
MZ10,M.Bruno,Mani,Mani,,1.60,-1.89,2.77
MZ11,M.Bruno,Mani,Mani,,0.80,-1.85,2.79
MZ12,M.Bruno,Mani,Mani,,1.20,-1.81,2.77
MZ13,M.Bruno,Mani,Mani,,1.00,-1.73,2.76
MZ14,M.Bruno,Mani,Mani,,1.50,-1.78,2.73
MZ15,M.Bruno,Mani,Mani,,1.00,-2.60,2.08
MZ16,M.Bruno,Mani,Mani,,1.00,-1.54,2.97
MX1,M.Bruno,Mani,Mani,,0.70,-2.02,2.43
MX2,M.Bruno,Mani,Mani,,1.10,-1.27,2.83
MX3,M.Bruno,Mani,Mani,,0.50,-1.64,3.12
MX4,M.Bruno,Mani,Mani,,0.40,-1.50,3.05
MX4a,M.Bruno,Mani,Mani,,0.40,-1.33,3.08
MX5,M.Bruno,Mani,Mani,,0.40,-1.54,3.09
MX5a,M.Bruno,Mani,Mani,,0.30,-2.00,2.87
MX6,M.Bruno,Mani,Mani,,0.30,-1.19,3.14
MX7,M.Bruno,Mani,Mani,,0.50,-1.52,2.86
MI,M.Bruno,Mani,Mani,,0.50,-1.33,1.98
MII,M.Bruno,Mani,Mani,,,-1.65,2.28
MIII,M.Bruno,Mani,Mani,,,-0.25,2.68
MIV,M.Bruno,Mani,Mani,,0.40,-1.31,2.01
MV,M.Bruno,Mani,Mani,,,-0.83,1.64
Mas1,,Milas,,,,-3.69,2.02
Mas2,,Milas,,,,-3.97,1.96
Mas3,,Milas,,,,-3.34,2.28
Mas4,,Milas,,,,-3.81,1.28
Mas5,,Milas,,,,-3.08,2.46
Mas6,,Milas,,,,-3.62,1.21
Mas7,,Milas,,,,-2.8,1.9
Mas8,,Milas,,,,-3.08,2.07
Mas9,,Milas,,,,-3.37,1.37
Mas10,,Milas,,,,-2.62,2.55
Mas11,,Milas,,,,-3.29,1.71
Mas12,,Milas,,,,-3.38,1.56
Mas13,,Milas,,,,-3.33,0.98
BA1,CNR10/00,Miletus,Mileto,,1.10,-2.54,2.08
BA2,CNR10/00,Miletus,Mileto,,1.00,-2.60,2.02
BA3,CNR10/00,Miletus,Mileto,,1.10,-2.20,1.61
BB1,CNR10/00,Miletus,Mileto,,1.10,-1.93,2.31
BB2,CNR10/00,Miletus,Mileto,,1.30,-2.40,2.15
BB4,CNR10/00,Miletus,Mileto,,1.30,-2.42,2.31
BC1,CNR10/00,Miletus,Mileto,,1.40,-2.02,1.93
BC2,CNR10/00,Miletus,Mileto,,1.20,-2.68,2.32
BC4,CNR10/00,Miletus,Mileto,,1.20,-1.89,1.87
BC5,CNR10/00,Miletus,Mileto,,1.10,-2.39,2.03
BD1,CNR10/00,Miletus,Mileto,,1.80,-2.31,2.22
BD2,CNR10/00,Miletus,Mileto,,1.10,-2.09,2.11
BD3,CNR10/00,Miletus,Mileto,,1.30,-1.88,2.07
BD4,CNR10/00,Miletus,Mileto,,1.20,-2.92,2.26
BD5,CNR10/00,Miletus,Mileto,,1.10,-2.69,2.16
BD6,CNR10/00,Miletus,Mileto,,1.40,-1.95,2.35
BD7,CNR10/00,Miletus,Mileto,,1.10,-1.63,2.21
BD8,CNR10/00,Miletus,Mileto,,1.10,-1.95,2.01
BD9,CNR10/00,Miletus,Mileto,,1.50,-2.06,2.54
BD10,CNR10/00,Miletus,Mileto,,1.30,-1.84,2.04
BE1,CNR10/00,Miletus,Mileto,,1.80,-3.35,2.37
BE2,CNR10/00,Miletus,Mileto,,1.30,-3.96,1.99
BE3,CNR10/00,Miletus,Mileto,,1.80,-3.52,1.92
BE4,CNR10/00,Miletus,Mileto,,1.70,-2.66,2.36
BF1,CNR10/00,Miletus,Mileto,,1.60,-1.97,2.59
BF2,CNR10/00,Miletus,Mileto,,1.40,-1.64,2.21
BF3,CNR10/00,Miletus,Mileto,,1.20,-1.61,2.59
BG2,CNR10/00,Miletus,Mileto,,1.40,-2.10,2.59
BG3,CNR10/00,Miletus,Mileto,,1.40,-2.28,2.64
BG4,CNR10/00,Miletus,Mileto,,1.30,-2.35,2.25
BH1,CNR10/00,Miletus,Mileto,,1.90,-3.33,2.17
BH2,CNR10/00,Miletus,Mileto,,2.10,-3.77,1.60
BH3,CNR10/00,Miletus,Mileto,,2.10,-1.65,1.80
BH5,CNR10/00,Miletus,Mileto,,2.50,-3.40,2.19
BH6,CNR10/00,Miletus,Mileto,,1.60,-3.44,1.93
BH7,CNR10/00,Miletus,Mileto,,2.50,-3.52,1.22
BH8,CNR10/00,Miletus,Mileto,,1.30,-3.41,1.60
BH9,CNR10/00,Miletus,Mileto,,1.50,-3.05,1.87
BH10,CNR10/00,Miletus,Mileto,,2.30,-3.00,1.98
BH11,CNR10/00,Miletus,Mileto,,1.90,-3.19,1.72
BH12,CNR10/00,Miletus,Mileto,,2.10,-3.56,1.18
BH13,CNR10/00,Miletus,Mileto,,1.20,-3.19,1.51
BI1,CNR10/00,Miletus,Mileto,,1.90,-3.16,2.08
BI2,CNR10/00,Miletus,Mileto,,1.80,-3.22,1.86
BI3,CNR10/00,Miletus,Mileto,,2.10,-3.40,1.94
BI4,CNR10/00,Miletus,Mileto,,1.60,-3.56,1.87
BI5,CNR10/00,Miletus,,,1.90,-3.59,1.62
BL1,CNR10/00,Miletus,,,1.00,-2.98,3.86
BL2,CNR10/00,Miletus,,,0.70,-2.96,3.44
BL3,CNR10/00,Miletus,,,1.80,-2.97,3.80
BM1,CNR10/00,Miletus,Mileto,,1.60,-2.04,1.91
BM2,CNR10/00,Miletus,Mileto,,1.00,-1.05,1.80
BM3,CNR10/00,Miletus,Mileto,,1.70,-1.91,1.84
BM4,CNR10/00,Miletus,Mileto,,1.00,-2.04,1.87
R52,CNR10/00,Miletus,Mileto,,1.10,-1.87,2.24
BN0,CNR10/00,Miletus,Mileto,,1.70,-2.01,2.40
BN1,CNR10/00,Miletus,Mileto,,1.40,-3.31,2.18
BN2,CNR10/00,Miletus,Mileto,,1.10,-2.27,2.30
BN3,CNR10/00,Miletus,Mileto,,1.30,-2.84,1.65
BN4,CNR10/00,Miletus,Mileto,,1.40,-2.14,1.96
NAPL1,CNR10/97,Naxos,Apollona,,3.50,-12.03,2.14
NAPL2,CNR10/97,Naxos,Apollona,,2.00,-13.03,1.93
NAPL3,CNR10/97,Naxos,Apollona,,4.00,-11.88,2.30
NAPL4,CNR10/97,Naxos,Apollona,,4.00,-12.33,2.29
NAPL5,CNR10/97,Naxos,Apollona,,5.00,-13.46,2.14
NAPL7,CNR10/97,Naxos,Apollona,,2.00,-9.25,2.18
NAPL8,CNR10/97,Naxos,Apollona,,4.00,-10.30,2.64
NAPL9,CNR10/97,Naxos,Apollona,,3.50,-9.97,2.47
NAPL10,CNR10/97,Naxos,Apollona,,3.50,-13.80,2.07
NAPL11,CNR10/97,Naxos,Apollona,,3.20,-10.54,2.60
NKML1,CNR10/97,Naxos,KinMel,,7.50,-3.32,1.98
NKML2,CNR10/97,Naxos,KinMel,,6.00,-3.32,2.25
NKML3,CNR10/97,Naxos,KinMel,,7.50,-3.52,2.18
NKML4,CNR10/97,Naxos,KinMel,,5.00,-2.61,2.18
NKML5,CNR10/97,Naxos,KinMel,,5.00,-3.07,2.13
NKML7,CNR10/97,Naxos,KinMel,,6.00,-3.19,1.94
NKML8,CNR10/97,Naxos,KinMel,,4.00,-3.40,1.99
NKML9,CNR10/97,Naxos,KinMel,,5.00,-4.09,1.89
NKML10,CNR10/97,Naxos,KinMel,,7.50,-4.11,2.00
NKML11,CNR10/97,Naxos,KinMel,,8.00,-4.43,2.16
NKML12,CNR10/97,Naxos,KinMel,,4.00,-3.28,2.10
NKML13,CNR10/97,Naxos,KinMel,,5.00,-3.70,1.94
NKML14,CNR10/97,Naxos,KinMel,,4.00,-5.48,1.99
NKML15,CNR10/97,Naxos,KinMel,,5.00,-4.38,1.90
NKML16,CNR10/97,Naxos,KinMel,,4.00,-3.22,1.60
NKIN1,CNR10/97,Naxos,KinMel,,5.00,-7.05,1.48
NKIN2,CNR10/97,Naxos,KinMel,,5.00,-5.90,1.94
NKIN4,CNR10/97,Naxos,KinMel,,4.00,-6.79,1.63
NKIN5,CNR10/97,Naxos,KinMel,,4.00,-6.39,1.42
NKIN6,CNR10/97,Naxos,KinMel,,5.00,-7.30,1.77
NKIN7,CNR10/97,Naxos,KinMel,,4.50,-5.54,1.99
NKIN8,CNR10/97,Naxos,KinMel,,4.50,-6.35,1.81
NKIN9,CNR10/97,Naxos,KinMel,,3.50,-5.91,1.90
NKIN10,CNR10/97,Naxos,KinMel,,5.00,-5.33,1.59
NKIN12,CNR10/97,Naxos,KinMel,,4.50,-3.52,1.86
NKIN13,CNR10/97,Naxos,KinMel,,5.00,-8.10,1.71
NKIN14,CNR10/97,Naxos,KinMel,,8.00,-5.85,1.82
NKIN15,CNR10/97,Naxos,KinMel,,4.00,-10.16,1.73
NKIN17,CNR10/97,Naxos,KinMel,,4.00,-6.16,1.70
NKIN18,CNR10/97,Naxos,KinMel,,4.00,-5.55,1.69
NKIN19,CNR10/97,Naxos,KinMel,,7.00,-7.44,1.87
NKIN20,CNR10/97,Naxos,KinMel,,3.50,-5.16,1.74
NKIN21,CNR10/97,Naxos,KinMel,,6.00,-5.72,1.56
Ny97.1,Bru10/97,Paros,MarathiL,,1.50,-3.26,4.41
Ny97.3,Bru10/97,Paros,MarathiL,,1.20,-3.55,4.38
Ny97.6,Bru10/97,Paros,MarathiL,,1.60,-3.62,5.03
Ny97.8,Bru10/97,Paros,MarathiL,,1.20,-3.77,4.52
Ny97.9,Bru10/97,Paros,MarathiL,,1.50,-3.41,4.96
Ny97.10,Bru10/97,Paros,MarathiL,,2.50,-2.95,4.66
Ny97.14,Bru10/97,Paros,MarathiL,,1.70,-3.64,3.95
Ny97.15,Bru10/97,Paros,MarathiL,,1.00,-3.83,4.36
Ny97.16,Bru10/97,Paros,MarathiL,,1.50,-3.47,4.71
Ny97.18,Bru10/97,Paros,MarathiL,,2.00,-3.60,4.55
Ny97.19,Bru10/97,Paros,MarathiL,,1.20,-3.60,3.58
Ny97.20,Bru10/97,Paros,MarathiL,,2.50,-3.80,3.61
Ny00.2,CNR04/00,Paros,MarathiL,,1.40,-3.14,4.93
Ny00.3,CNR04/00,Paros,MarathiL,,1.30,-3.17,4.64
Ny00.3a,CNR04/00,Paros,MarathiL,,1.40,-3.24,4.70
Ny00.4,CNR04/00,Paros,MarathiL,,1.30,-3.17,4.34
Ny00.5,CNR04/00,Paros,MarathiL,,1.40,-3.15,4.89
Ny00.6,CNR04/00,Paros,MarathiL,,1.60,-3.98,3.13
Ny00.7,CNR04/00,Paros,MarathiL,,1.60,-2.79,4.84
Ny00.8,CNR04/00,Paros,MarathiL,,1.10,-3.03,4.81
Ny00.8a,CNR04/00,Paros,MarathiL,,1.10,-3.13,4.84
Ny00.9,CNR04/00,Paros,MarathiL,,1.20,-3.28,5.05
Ny00.10,CNR04/00,Paros,MarathiL,,1.70,-3.39,4.97
Ny00.11,CNR04/00,Paros,MarathiL,,1.80,-3.14,5.08
Ny00.12,CNR04/00,Paros,MarathiL,,1.80,-3.98,3.01
Ny00.15,CNR04/00,Paros,MarathiL,,1.60,-2.98,4.78
Ny00.15,CNR04/00,Paros,MarathiL,,1.20,-3.22,4.56
PaI34,Bru10/97,Paros,MarathiL,,1.30,-3.07,4.86
PaE35,Bru10/97,Paros,MarathiL,,1.50,-2.78,5.00
PaE38,Bru10/97,Paros,MarathiL,,3.00,-2.75,3.76
PaE43,Bru10/97,Paros,MarathiL,,2.50,-2.67,4.21
PaE44,Bru10/97,Paros,MarathiL,,1.50,-2.59,4.96
PaE45,Bru10/97,Paros,MarathiL,,1.50,-2.88,3.91
Ste5.2,CNR04/00,Paros,MarathiL,,1.70,-2.80,3.45
Ste5.3,CNR04/00,Paros,MarathiL,,1.90,-3.28,3.03
Ste5.4,CNR04/00,Paros,MarathiL,,2.10,-3.48,3.72
Ste5.10,CNR04/00,Paros,MarathiL,,1.80,-2.86,3.80
Ste5.16,CNR04/00,Paros,MarathiL,,2.10,-2.89,3.32
Ste5.19,CNR04/00,Paros,MarathiL,,2.10,-3.22,3.17
Ste5.20,CNR04/00,Paros,MarathiL,,2.50,-3.23,3.31
Ste5.21,CNR04/00,Paros,MarathiL,,3.10,-3.49,3.46
Ny97.5,Bru10/97,Paros,Marathi,,3.00,-3.50,2.50
Ny97.7,Bru10/97,Paros,Marathi,,1.70,-3.01,1.97
Ny97.11,Bru10/97,Paros,Marathi,,1.50,-2.55,2.66
Ny97.12,Bru10/97,Paros,Marathi,,1.50,-2.87,1.92
Ny97.17,Bru10/97,Paros,Marathi,,1.00,-3.12,1.49
NyN21,Bru10/97,Paros,Marathi,,2.50,-1.96,1.86
NyN22,Bru10/97,Paros,Marathi,,1.50,-2.13,2.53
NyN23,Bru10/97,Paros,Marathi,,2.00,-2.60,2.80
Ny00.1,CNR04/00,Paros,Marathi,,1.10,-3.34,3.37
Ny00.14,CNR04/00,Paros,Marathi,,1.70,-2.61,2.78
PaI32,Bru10/97,Paros,Marathi,,2.00,-4.16,0.74
PaE36,Bru10/97,Paros,Marathi,,1.50,-1.97,1.86
PaE37,Bru10/97,Paros,,,1.50,-5.14,-2.45
PaE39,Bru10/97,Paros,Marathi,,3.00,-2.31,0.52
PaE40,Bru10/97,Paros,Marathi,,1.50,-2.08,2.64
PaE41,Bru10/97,Paros,Marathi,,2.00,-2.32,2.26
PaE42,Bru10/97,Paros,Marathi,,2.50,-1.93,1.56
Ste5.1,CNR04/00,Paros,Marathi,,1.40,-2.42,1.69
Ste5.5,CNR04/00,Paros,Marathi,,3.00,-2.19,1.17
Ste5.6,CNR04/00,Paros,Marathi,,2.10,-2.14,1.75
Ste5.7,CNR04/00,Paros,Marathi,,2.80,-2.03,2.50
Ste5.8,CNR04/00,Paros,Marathi,,2.50,-2.45,0.97
Ste5.9,CNR04/00,Paros,Marathi,,2.80,-2.09,2.07
Ste5.12,CNR04/00,Paros,Marathi,,2.30,-2.44,1.85
Ste5.13,CNR04/00,Paros,Marathi,,2.50,-2.39,2.65
Ste5.14,CNR04/00,Paros,Marathi,,2.10,-2.48,-0.60
Ste5.15,CNR04/00,Paros,Marathi,,2.40,-2.29,2.50
Ste5.17,CNR04/00,Paros,Marathi,,2.90,-3.10,2.77
Ste5.18,CNR04/00,Paros,Marathi,,2.40,-4.12,2.32
L1,Bru10/97,Paros,Choroda,,2.00,-1.25,2.03
L2,Bru10/97,Paros,Choroda,,2.00,-1.10,1.90
L3,Bru10/97,Paros,Choroda,,2.00,-1.32,1.49
L4,Bru10/97,Paros,Choroda,,3.00,-1.42,1.44
L5,Bru10/97,Paros,Choroda,,2.50,-0.78,2.02
L6,Bru10/97,Paros,Choroda,,2.50,-1.12,1.33
L7,Bru10/97,Paros,Choroda,,3.00,-0.95,1.78
L8,Bru10/97,Paros,Choroda,,3.00,-0.95,1.86
L9,Bru10/97,Paros,Choroda,,2.50,-0.85,1.92
L10,Bru10/97,Paros,Choroda,,2.00,-2.34,1.74
L11,Bru10/97,Paros,Choroda,,2.50,-1.28,0.72
L12,Bru10/97,Paros,Choroda,,1.80,-0.94,1.96
L13,Bru10/97,Paros,Choroda,,2.00,-1.57,2.14
L14,Bru10/97,Paros,Choroda,,1.50,-1.05,1.99
L15,Bru10/97,Paros,Choroda,,1.70,-1.02,1.67
L16,Bru10/97,Paros,Choroda,,3.00,-0.91,2.22
L17,Bru10/97,Paros,Choroda,,2.00,-1.31,1.99
KD1.1,CNR04/00,Paros,Choroda,,2.40,-1.36,1.80
KD1.2,CNR04/00,Paros,Choroda,,2.80,-0.77,1.96
KD1.3,CNR04/00,Paros,Choroda,,2.10,-0.74,1.86
KD2.1,CNR04/00,Paros,Choroda,,2.80,-1.26,1.83
KD2.2,CNR04/00,Paros,Choroda,,2.10,-1.15,1.74
KD2.3,CNR04/00,Paros,Choroda,,1.90,-0.62,2.01
KD2.4,CNR04/00,Paros,Choroda,,2.50,-1.23,2.06
KD2.5,CNR04/00,Paros,Choroda,,2.40,-1.03,1.81
KD2.6,CNR04/00,Paros,Choroda,,2.10,-1.01,2.08
KD4.1,CNR04/00,Paros,Choroda,,2.10,-1.20,0.88
KD4.2,CNR04/00,Paros,Choroda,,2.10,-0.85,2.07
KD4.3,CNR04/00,Paros,Choroda,,2.40,-1.30,1.94
KD4.4,CNR04/00,Paros,Choroda,,2.70,-0.82,1.90
KD4.5,CNR04/00,Paros,Choroda,,2.20,-0.87,1.97
KS1.1,CNR04/00,Paros,Choroda,,1.80,-0.72,1.87
KS1.2,CNR04/00,Paros,Choroda,,2.00,-0.91,1.94
KS1.3,CNR04/00,Paros,Choroda,,1.30,-0.99,1.96
KS1.4,CNR04/00,Paros,Choroda,,1.40,-0.89,1.99
KS1.5,CNR04/00,Paros,Choroda,,2.00,-1.10,1.84
KS1.6,CNR04/00,Paros,Choroda,,1.70,-0.95,1.94
KS1.7,CNR04/00,Paros,Choroda,,2.50,-1.06,1.90
KS1.8,CNR04/00,Paros,Choroda,,1.80,-0.85,1.95
KS1.9,CNR04/00,Paros,Choroda,,1.50,-0.93,1.84
KS1.10,CNR04/00,Paros,Choroda,,1.40,-0.80,1.95
KS1.11,CNR04/00,Paros,Choroda,,1.70,-1.10,1.82
KS2.1,CNR04/00,Paros,Choroda,,1.80,-1.86,1.96
KS2.2,CNR04/00,Paros,Choroda,,1.90,-2.57,1.83
KS2.3,CNR04/00,Paros,,,2.40,-1.82,-0.90
KS2.4,CNR04/00,Paros,Choroda,,2.10,-1.04,1.77
KS2.5a,CNR04/00,Paros,Choroda,,1.80,-1.01,1.92
KS2.6a,CNR04/00,Paros,Choroda,,1.80,-0.88,1.82
KS2.7a,CNR04/00,Paros,Choroda,,1.50,-1.33,1.33
KS2.8a,CNR04/00,Paros,Choroda,,1.00,-0.75,1.79
KS2.9a,CNR04/00,Paros,Choroda,,1.70,-0.94,1.77
KS3.1,CNR04/00,Paros,Choroda,,2.10,-1.29,2.07
KS3.2,CNR04/00,Paros,Choroda,,2.00,-0.94,1.83
KS3.3,CNR04/00,Paros,Choroda,,2.10,-0.74,1.80
KS3.4,CNR04/00,Paros,Choroda,,2.40,-0.74,1.86
KS3.5,CNR04/00,Paros,Choroda,,2.10,-1.02,1.53
KS3.6,CNR04/00,Paros,Choroda,,2.20,-1.51,1.76
KS3.7,CNR04/00,Paros,Choroda,,2.50,-1.95,0.50
KS3.8,CNR04/00,Paros,Choroda,,0.90,-1.93,0.73
KS3.9,CNR04/00,Paros,Choroda,,1.80,-1.03,1.96
KS3.10,CNR04/00,Paros,Choroda,,1.40,-0.94,1.75
KS3.11,CNR04/00,Paros,Choroda,,2.10,-1.26,1.65
KS3.12,CNR04/00,Paros,Choroda,,2.30,-0.69,2.05
Kar27,Bru10/97,Paros,,,0.70,-3.95,1.18
Kar29,Bru10/97,Paros,,,1.50,-4.61,0.46
Kar30,Bru10/97,Paros,,,1.00,-3.51,0.65
Kar31,Bru10/97,Paros,,,2.00,-3.88,0.64
